Bug Report ID,#Files (.java),Ranks,Ranked Buggy Files,Ranks (Unsorted)
2,186,"[2, 11]","['bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/HorizontalBarChartFragment.java', 'bug-2/app/src/main/java/io/github/zwieback/familyfinance/business/chart/fragment/PieChartFragment.java']","[2, 11]"
8,81,[2],['bug-8/app/src/main/java/de/koelle/christian/trickytripper/TrickyTripperActivity.java'],[2]
10,240,"[10, 35, 74]","['bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerService.java', 'bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerStatePreference.java', 'bug-10/app/src/main/java/me/zhanghai/android/files/ftpserver/FtpServerReceiver.java']","[10, 35, 74]"
18,126,"[1, 23, 27]","['bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/MedicineCreateOrEditFragment.java', 'bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/RoutineCreateOrEditFragment.java', 'bug-18/Calendula/src/main/java/es/usc/citius/servando/calendula/fragments/ScheduleTimetableFragment.java']","[1, 23, 27]"
19,241,[3],['bug-19/app/src/main/java/de/westnordost/streetcomplete/quests/housenumber/AddHousenumberForm.java'],[3]
44,104,[78],['bug-44/omniNotes/src/main/java/it/feio/android/omninotes/utils/TagsHelper.java'],[78]
53,77,[35],['bug-53/app/src/main/java/net/gsantner/markor/ui/NewFileDialog.java'],[35]
71,88,[10],['bug-71/app/src/main/java/fr/neamar/kiss/forwarder/ExperienceTweaks.java'],[10]
117,80,[7],['bug-117/app/src/main/java/openfoodfacts/github/scrachx/openfood/views/product/nutrition/NutritionProductFragment.java'],[7]
128,36,"[1, 2, 22]","['bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/MainActivity.java', 'bug-128/app/src/main/java/org/shadowice/flocke/andotp/Activities/SettingsActivity.java', 'bug-128/app/src/main/java/org/shadowice/flocke/andotp/Utilities/Settings.java']","[1, 2, 22]"
129,38,[3],['bug-129/app/src/main/java/org/shadowice/flocke/andotp/Dialogs/ManualEntryDialog.java'],[3]
130,34,[1],['bug-130/app/src/main/java/org/shadowice/flocke/andotp/Activities/IntroScreenActivity.java'],[1]
135,127,"[1, 4]","['bug-135/app/src/main/java/fr/free/nrw/commons/category/SubCategoryListFragment.java', 'bug-135/app/src/main/java/fr/free/nrw/commons/explore/categories/SearchCategoryFragment.java']","[1, 4]"
191,12,[2],['bug-191/app/src/main/java/ch/logixisland/anuto/view/game/TowerView.java'],[2]
201,130,[1],['bug-201/iNaturalist/src/main/java/org/inaturalist/android/ObservationListActivity.java'],[1]
206,116,[4],['bug-206/app/src/main/java/org/gnucash/android/ui/settings/BookManagerFragment.java'],[4]
209,91,[31],['bug-209/app/src/main/java/org/gnucash/android/ui/util/widget/CalculatorEditText.java'],[31]
256,103,[14],['bug-256/app/src/main/java/org/gnucash/android/ui/account/AccountsListFragment.java'],[14]
1073,111,[79],['bug-1073/app/src/main/java/org/mozilla/focus/browser/LocalizedContent.java'],[79]
1096,145,[30],['bug-1096/iNaturalist/src/main/java/org/inaturalist/android/RecordSoundActivity.java'],[30]
1146,24,[4],['bug-1146/GPSTest/src/main/java/com/android/gpstest/GpsStatusFragment.java'],[4]
1147,11,[2],['bug-1147/GPSTest/src/main/java/com/android/gpstest/NavigationDrawerFragment.java'],[2]
1151,12,"[1, 2]","['bug-1151/GPSTest/src/main/java/com/android/gpstest/GpsTestActivity.java', 'bug-1151/GPSTest/src/main/java/com/android/gpstest/Preferences.java']","[1, 2]"
1202,33,[1],['bug-1202/app/src/main/java/swati4star/createpdf/activity/ImageEditor.java'],[1]
